Awards,Credits,Job,Name,Noms,Wins
3 win & 3 nomination,81.0,Actress,Kate Ashfield,3,3
1 nomination,87.0,Actress,Sarita Choudhury,1,0
4 win & 1 nomination,195.0,Actress,Kira Reed Lorsch,1,4
3 nomination,72.0,Actor,Peter Haber,3,0
none,122.0,Actor,Nick Chinlund,0,0
6 nomination,50.0,Actress,"Ashley Bell
(I)",6,0
"nominated 1 golden globe, another 8 win & 23 nomination",76.0,Actor,Riz Ahmed,24,8
1 nomination,63.0,Actor,Elden Henson,1,0
2 win & 7 nomination,82.0,Actress,Katheryn Winnick,7,2
none,,,Traci Lords,0,0
1 win & 3 nomination,111.0,Actor,"David Hewlett
(III)",3,1
4 win & 3 nomination,264.0,Actor,Chris Mulkey,3,4
5 win & 9 nomination,181.0,Actor,"Michel Blanc
(I)",9,5
2 win & 6 nomination,38.0,Actor,Oleg Menshikov,6,2
"nominated 1 bafta film award, another 2 win & 6 nomination",79.0,Actress,Freida Pinto,7,2
3 win & 4 nomination,55.0,Actress,Lara Dutta,4,3
"won 5 primetime emmys, another 5 win & 29 nomination",205.0,Writer,"Dennis Miller
(I)",29,10
1 nomination,76.0,Actress,Sandrine Holt,1,0
"won 1 bafta film award, another 21 win & 9 nomination",348.0,Actress,"Jeanne Moreau
(1928–2017)",9,22
2 win & 1 nomination,123.0,Actor,Girish Karnad,1,2
none,125.0,Actor,"Joey Travolta
(I)",0,0
"won 1 oscar, another 17 win & 46 nomination",347.0,Actor,Common,46,18
1 win & 4 nomination,60.0,Actress,Tika Sumpter,4,1
1 win,127.0,Actress,Krista Allen,0,1
none,41.0,Actor,Justin Urich,0,0
none,59.0,Actress,Julie K. Smith,0,0
"nominated 2 golden globes, another 6 win & 13 nomination",82.0,Actress,"January Jones
(I)",15,6
3 win,72.0,Actor,"Nebojsa Glogovac
(1969–2018)",0,3
4 win & 4 nomination,86.0,Actress,Alexandra Maria Lara,4,4
8 win & 18 nomination,220.0,Actor,Jean-Louis Trintignant,18,8
"nominated 8 golden globes, another 11 win & 36 nomination",165.0,Actress,Debra Messing,44,11
2 win & 2 nomination,99.0,Actor,"Chris Farley
(I)
(1964–1997)",2,2
2 win & 2 nomination,63.0,Actor,Lothaire Bluteau,2,2
1 win & 5 nomination,133.0,Actor,Mark-Paul Gosselaar,5,1
2 win & 1 nomination,188.0,Actor,"Randy Travis
(I)",1,2
none,58.0,Actress,"Aparajita
(I)",0,0
none,40.0,Actor,"Justin Carroll
(I)",0,0
none,55.0,Actress,"Lauren Hays
(I)",0,0
nominated 1 golden globe,82.0,Actor,Jim Metzler,1,0
"won 1 golden globe, another 8 win & 1 nomination",208.0,Actress,Tippi Hedren,1,9
"nominated 3 oscars, another 29 win & 22 nomination",388.0,Actor,"Kirk Douglas
(I)",25,29
"nominated 1 golden globe, another 9 win & 17 nomination",553.0,Actor,"Stephen Fry
(I)",18,9
8 win & 11 nomination,18.0,Actress,Ji-hyun Jun,11,8
"nominated 2 primetime emmys, another 1 win & 6 nomination",173.0,Actor,Kenan Thompson,8,1
7 win & 6 nomination,164.0,Actress,María Barranco,6,7
none,63.0,Actor,"Christopher Martin
(I)",0,0
"nominated 1 oscar, another 7 win & 4 nomination",85.0,Actor,"Paul Hogan
(I)",5,7
14 win & 15 nomination,82.0,Actress,"Kimberly Elise
(I)",15,14
8 win & 5 nomination,142.0,Actress,"Leslie Hope
(I)",5,8
"nominated 1 golden globe, another 8 win & 12 nomination",238.0,Actor,"Christopher Reeve
(1952–2004)",13,8
"won 1 primetime emmy, another 4 win & 13 nomination",141.0,Writer,Keenen Ivory Wayans,13,5
2 win & 14 nomination,171.0,Actor,Zachary Levi,14,2
3 win & 7 nomination,81.0,Actor,Rafe Spall,7,3
1 win & 3 nomination,37.0,Actor,"Nick Robinson
(X)",3,1
1 nomination,63.0,Actor,"Adil Hussain
(I)",1,0
4 nomination,46.0,Actress,Gina Carano,4,0
3 win & 6 nomination,74.0,Actor,Columbus Short,6,3
5 win & 2 nomination,109.0,Actress,Jennifer Esposito,2,5
1 nomination,40.0,Actor,"Jeremy Jordan
(IV)",1,0
6 win & 6 nomination,115.0,Actor,"Thomas Dekker
(I)",6,6
3 win & 10 nomination,35.0,Actress,Georgie Henley,10,3
none,82.0,Actor,"Adam Johnson
(I)",0,0
2 win & 6 nomination,99.0,Actress,Jill Hennessy,6,2
26 win & 13 nomination,98.0,Actor,Pierfrancesco Favino,13,26
4 nomination,148.0,Actor,Hippolyte Girardot,4,0
1 nomination,34.0,Actress,Adelaide Clemens,1,0
5 win & 1 nomination,73.0,Actor,"Arbaaz Khan
(I)",1,5
"won 1 golden globe, another 5 win & 30 nomination",146.0,Actor,"Matt LeBlanc
(I)",30,6
1 nomination,45.0,Actor,Stéphane Rideau,1,0
"nominated 2 oscars, another 49 win & 80 nomination",436.0,Producer,Oprah Winfrey,82,49
15 win & 6 nomination,61.0,Actor,"Vikram
(XXIII)",6,15
"nominated 2 oscars, another 9 win & 22 nomination",48.0,Actor,Dan Futterman,24,9
2 win & 3 nomination,79.0,Actor,Devon Bostick,3,2
1 nomination,28.0,Actor,"Jon Foster
(I)",1,0
1 win & 2 nomination,28.0,Actor,Max Thieriot,2,1
"won 1 oscar, another 11 win & 36 nomination",159.0,Actress,Christine Lahti,36,12
1 win,28.0,Actor,Jin-mo Ju,0,1
1 win & 3 nomination,116.0,Actor,"Bill Sage
(I)",3,1
"nominated 2 primetime emmys, another 3 win & 13 nomination",83.0,Actor,"Steve Harris
(I)",15,3
4 win & 5 nomination,163.0,Actor,Jeffrey Combs,5,4
1 win & 1 nomination,122.0,Actor,Sachin Khedekar,1,1
4 win & 6 nomination,131.0,Actress,"Gemma Jones
(I)",6,4
1 win & 2 nomination,83.0,Actor,Max Beesley,2,1
4 win & 4 nomination,126.0,Actor,"Ralph Macchio
(I)",4,4
5 nomination,98.0,Actor,"Angus Macfadyen
(I)",5,0
3 win & 5 nomination,154.0,Actress,Jennifer Coolidge,5,3
"won 1 primetime emmy, another 16 win & 39 nomination",476.0,Soundtrack,"Whitney Houston
(I)
(1963–2012)",39,17
none,78.0,Actress,"Chie Nakamura
(I)",0,0
"nominated 1 primetime emmy, another 4 win & 13 nomination",58.0,Actress,Maisie Williams,14,4
14 win & 10 nomination,130.0,Actress,Sandrine Bonnaire,10,14
"won 1 golden globe, another 1 win & 12 nomination",63.0,Actress,"Ruth Wilson
(II)",12,2
"nominated 2 golden globes, another 7 nomination",122.0,Actor,"Thomas Gibson
(I)",9,0
5 win & 6 nomination,75.0,Actress,Marie Gillain,6,5
6 win & 12 nomination,37.0,Actress,Sarah Snook,12,6
3 win & 2 nomination,79.0,Actor,"Takuya Kimura
(I)",2,3
3 win & 1 nomination,27.0,Actress,Haley Lu Richardson,1,3
1 nomination,137.0,Actor,Wings Hauser,1,0
1 win & 2 nomination,47.0,Actress,Ingrid Bolsø Berdal,2,1
"nominated 1 oscar, another 6 win & 24 nomination",117.0,Actress,Sophie Okonedo,25,6
"nominated 1 oscar, another 3 win & 7 nomination",44.0,Actress,Meg Tilly,8,3
"won 1 primetime emmy, another 4 win & 11 nomination",169.0,Actor,Tate Donovan,11,5
"won 1 oscar, another 23 win & 40 nomination",460.0,Actress,Cloris Leachman,40,24
4 win & 7 nomination,137.0,Actress,"Lindsay Duncan
(I)",7,4
2 win & 5 nomination,133.0,Actor,Edu Manzano,5,2
6 win & 6 nomination,331.0,Actress,"Dee Wallace
(II)",6,6
8 nomination,91.0,Actor,Chi McBride,8,0
8 win & 16 nomination,344.0,Actor,Cheech Marin,16,8
none,134.0,Actor,"Gary Hudson
(I)",0,0
2 win & 6 nomination,195.0,Actor,"Luke Perry
(I)",6,2
3 win & 2 nomination,127.0,Actor,"Ewen Bremner
(I)",2,3
13 win & 2 nomination,183.0,Actor,"Daniel Baldwin
(I)",2,13
2 win & 4 nomination,123.0,Actor,"David Kelly
(I)
(1929–2012)",4,2
none,42.0,Actress,"Jessica Lucas
(II)",0,0
6 win & 12 nomination,62.0,Actor,Riteish Deshmukh,12,6
none,33.0,Actor,Max Irons,0,0
"nominated 2 oscars, another 17 win & 24 nomination",313.0,Actress,Ann-Margret,26,17
none,17.0,Actress,Jenna Bodnar,0,0
1 win & 12 nomination,227.0,Actor,Joe Swanberg,12,1
1 win & 10 nomination,73.0,Actress,Katherine Waterston,10,1
"won 2 primetime emmys, another 16 win & 45 nomination",120.0,Actor,Ty Burrell,45,18
"won 1 oscar, another 8 win & 5 nomination",237.0,Actor,"Jack Palance
(1919–2006)",5,9
3 nomination,51.0,Actor,John Gallagher Jr.,3,0
7 win & 14 nomination,58.0,Actress,Francesca Neri,14,7
4 win & 5 nomination,90.0,Actor,Clayne Crawford,5,4
2 win & 1 nomination,528.0,Actor,"Kader Khan
(I)",1,2
3 win & 3 nomination,78.0,Actress,"Clara Lago
(I)",3,3
"nominated 2 primetime emmys, another 4 win & 4 nomination",146.0,Actor,Rubén Blades,6,4
9 win & 20 nomination,143.0,Actor,Eddie Marsan,20,9
none,57.0,Actress,Mamie Gummer,0,0
1 win & 4 nomination,52.0,Actor,Liam Aiken,4,1
1 win & 3 nomination,299.0,Actor,"Siddique
(II)",3,1
5 win & 23 nomination,51.0,Actress,"Jennifer Carpenter
(III)",23,5
2 nomination,56.0,Actress,Annabelle Wallis,2,0
1 win & 2 nomination,91.0,Actor,"Nicholas Hope
(I)",2,1
10 win & 13 nomination,131.0,Actor,Olivier Gourmet,13,10
"nominated 1 primetime emmy, another 4 win & 14 nomination",180.0,Actress,Rashida Jones,15,4
19 win & 15 nomination,83.0,Actor,Riccardo Scamarcio,15,19
"nominated 2 oscars, another 3 win & 11 nomination",97.0,Actress,"Mary McDonnell
(I)",13,3
3 win & 9 nomination,105.0,Actress,Magda Szubanski,9,3
8 nomination,47.0,Actor,Victor Rasuk,8,0
22 win & 52 nomination,588.0,Actress,Tara Strong,52,22
"nominated 2 golden globes, another 9 win & 6 nomination",144.0,Actor,"Kirk Cameron
(I)",8,9
"nominated 1 oscar, another 17 win & 36 nomination",274.0,Actor,"James Garner
(I)
(1928–2014)",37,17
1 nomination,83.0,Actress,Shriya Saran,1,0
none,55.0,Actress,Mia Zottoli,0,0
2 win,106.0,Actress,Mathilda May,0,2
3 win & 12 nomination,63.0,Actor,Penn Badgley,12,3
2 win & 4 nomination,167.0,Actor,Kim Coates,4,2
1 win & 2 nomination,150.0,Actor,Glenn Plummer,2,1
3 nomination,153.0,Actress,Paget Brewster,3,0
15 win & 15 nomination,367.0,Actor,"Dolphy
(1928–2012)",15,15
17 win & 20 nomination,109.0,Actor,"Paul Gross
(I)",20,17
1 win & 9 nomination,172.0,Soundtrack,DMX,9,1
2 win & 5 nomination,98.0,Actress,Annabeth Gish,5,2
2 win & 2 nomination,37.0,Actor,Torkel Petersson,2,2
none,103.0,Actress,"Andrea Roth
(I)",0,0
1 win,72.0,Actress,Natasha Gregson Wagner,0,1
1 win & 1 nomination,102.0,Actress,Romane Bohringer,1,1
8 win & 5 nomination,217.0,Actor,"Martin Kemp
(I)",5,8
1 win & 6 nomination,52.0,Actress,"Jessica Paré
(I)",6,1
26 win & 8 nomination,273.0,Actress,Marisa Paredes,8,26
2 win & 3 nomination,36.0,Actor,Jason James Richter,3,2
5 win & 14 nomination,156.0,Actor,Mekhi Phifer,14,5
1 win & 5 nomination,175.0,Actor,Antonio Sabato Jr.,5,1
1 nomination,66.0,Actor,Steven Waddington,1,0
5 win & 3 nomination,75.0,Actress,Anaïs Demoustier,3,5
none,99.0,Actor,Zach Galligan,0,0
"won 2 primetime emmys, another 12 win & 25 nomination",132.0,Actress,"Kate McKinnon
(I)",25,14
3 win & 10 nomination,55.0,Actor,"Lucas Black
(II)",10,3
"nominated 2 primetime emmys, another 4 nomination",187.0,Actor,"Jason Ritter
(I)",6,0
3 nomination,171.0,Actress,"Veronica Taylor
(I)",3,0
"nominated 4 golden globes, another 9 win & 39 nomination",181.0,Actress,Sofía Vergara,43,9
4 win & 14 nomination,49.0,Actor,"Ye Liu
(I)",14,4
3 win & 19 nomination,151.0,Actress,"Aubrey Plaza
(I)",19,3
4 nomination,36.0,Actor,Logan Marshall-Green,4,0
"won 1 golden globe, another 18 win & 27 nomination",223.0,Actor,Bob Newhart,27,19
2 win & 5 nomination,165.0,Actor,Matt Frewer,5,2
"nominated 3 golden globes, another 87 win & 74 nomination",356.0,Producer,Ellen DeGeneres,77,87
16 win & 13 nomination,62.0,Actor,"Jonathan Jackson
(I)",13,16
none,25.0,Actress,"Jodie Fisher
(I)",0,0
none,22.0,Actor,Bruce Penhall,0,0
2 win & 4 nomination,60.0,Actor,"Sean Harris
(I)",4,2
"nominated 1 golden globe, another 2 win & 14 nomination",149.0,Actress,Swoosie Kurtz,15,2
none,39.0,Actor,"Victor Wong
(III)
(1927–2001)",0,0
18 win & 6 nomination,31.0,Actress,Ye-jin Son,6,18
4 win & 3 nomination,195.0,Actor,"Paul McGann
(I)",3,4
24 win & 39 nomination,189.0,Actor,"Javier Cámara
(I)",39,24
"nominated 1 primetime emmy, another 5 win & 7 nomination",64.0,Actress,Yvonne Strahovski,8,5
15 win & 6 nomination,150.0,Actor,Jan Decleir,6,15
1 win & 1 nomination,34.0,Actor,Charlie Tahan,1,1
1 win & 2 nomination,62.0,Actor,Jeffrey Donovan,2,1
1 nomination,105.0,Actor,"James Frain
(I)",1,0
none,29.0,Actor,"Joe Cole
(VII)",0,0
"won 1 golden globe, another 51 win & 84 nomination",217.0,Actress,Julia Louis-Dreyfus,84,52
4 win & 5 nomination,176.0,Actor,"Miguel Ferrer
(I)
(1955–2017)",5,4
1 win & 2 nomination,36.0,Actor,Ed Speleers,2,1
1 nomination,72.0,Actor,"Scott Valentine
(I)",1,0
"nominated 3 golden globes, another 5 win & 15 nomination",105.0,Actress,"Amy Brenneman
(I)",18,5
"nominated 1 golden globe, another 4 win",114.0,Actor,Steve Railsback,1,4
1 win,50.0,Actress,Kelly LeBrock,0,1
7 win & 12 nomination,233.0,Actress,"Jessica Simpson
(I)",12,7
none,40.0,Actor,"Sanjay Kapoor
(I)",0,0
1 win,148.0,Actor,Bo Hopkins,0,1
2 win & 4 nomination,75.0,Actor,Tatsuya Fujiwara,4,2
1 nomination,304.0,Actress,"Aachi Manorama
(1937–2015)",1,0
13 win & 7 nomination,109.0,Actor,Carmelo Gómez,7,13
1 win & 5 nomination,364.0,Actor,"Andy Dick
(I)",5,1
3 win & 6 nomination,76.0,Actor,Aden Young,6,3
6 win & 12 nomination,122.0,Actress,Sarah Hyland,12,6
"nominated 1 golden globe, another 10 nomination",73.0,Actress,Hayley Atwell,11,0
6 win & 5 nomination,130.0,Actress,"Elizabeth Peña
(1959–2014)",5,6
5 win & 5 nomination,70.0,Actress,Angela Bettis,5,5
5 win & 5 nomination,125.0,Actor,Tyler Labine,5,5
8 win & 6 nomination,74.0,Actor,Max Riemelt,6,8
1 win & 1 nomination,49.0,Actor,Diego Boneta,1,1
12 win & 12 nomination,78.0,Actor,Jacob Tierney,12,12
1 win & 2 nomination,53.0,Actor,Eion Bailey,2,1
3 nomination,72.0,Actress,"Sharon Leal
(I)",3,0
2 win & 2 nomination,51.0,Actress,Suzy Amis,2,2
"nominated 1 golden globe, another 2 win & 1 nomination",308.0,Actor,"Erik Estrada
(I)",2,2
"nominated 2 oscars, another 2 win & 7 nomination",191.0,Actor,"Roy Scheider
(1932–2008)",9,2
"nominated 1 bafta film award, another 1 win & 6 nomination",144.0,Actor,"Dexter Fletcher
(I)",7,1
"nominated 5 golden globes, another 16 win & 40 nomination",202.0,Actress,Cynthia Nixon,45,16
9 win & 22 nomination,95.0,Actor,Richard Roxburgh,22,9
"won 1 golden globe, another 5 win & 15 nomination",111.0,Actor,"Michael Moriarty
(I)",15,6
13 win & 10 nomination,103.0,Actress,Nina Dobrev,10,13
1 win & 3 nomination,30.0,Actress,Jessica Brown Findlay,3,1
3 win & 2 nomination,46.0,Actress,Leslie Zemeckis,2,3
1 win & 3 nomination,66.0,Actor,Noah Emmerich,3,1
27 win & 25 nomination,80.0,Producer,"Farhan Akhtar
(I)",25,27
6 win & 16 nomination,106.0,Actress,Amy Seimetz,16,6
1 win & 1 nomination,52.0,Actress,"Moira Kelly
(I)",1,1
1 win,45.0,Actor,"Logan Miller
(I)",0,1
4 win & 5 nomination,48.0,Actor,Marc-André Grondin,5,4
32 win & 34 nomination,126.0,Actor,Sergio Castellitto,34,32
1 win & 1 nomination,198.0,Soundtrack,Dwight Yoakam,1,1
"won 1 oscar, another 10 win & 3 nomination",93.0,Actress,Mercedes Ruehl,3,11
1 nomination,103.0,Actress,Elina Löwensohn,1,0
2 nomination,60.0,Actor,"Sohail Khan
(I)",2,0
5 win & 9 nomination,129.0,Actor,Shawn Wayans,9,5
1 win & 5 nomination,69.0,Actor,Michiel Huisman,5,1
1 win & 3 nomination,106.0,Actor,Dragan Bjelogrlic,3,1
1 nomination,81.0,Actress,Saskia Reeves,1,0
1 win & 1 nomination,61.0,Actress,Madhoo,1,1
1 win & 4 nomination,222.0,Actor,Sinbad,4,1
3 win & 3 nomination,43.0,Actor,"Fengyi Zhang
(I)",3,3
3 win & 2 nomination,118.0,Actor,Mackenzie Astin,2,3
2 nomination,88.0,Actor,Toby Stephens,2,0
1 nomination,54.0,Actor,"Sanjay Suri
(I)",1,0
"won 2 oscars, another 7 win & 17 nomination",317.0,Actor,"Anthony Quinn
(I)
(1915–2001)",17,9
3 win & 2 nomination,185.0,Actor,Kurtwood Smith,2,3
12 win & 9 nomination,75.0,Actress,Barbara Sukowa,9,12
1 win & 7 nomination,128.0,Actor,Larry the Cable Guy,7,1
4 nomination,57.0,Actress,Melonie Diaz,4,0
none,74.0,Actor,"Russell Means
(1939–2012)",0,0
25 win & 19 nomination,174.0,Actress,Emma Suárez,19,25
3 win & 3 nomination,53.0,Actress,Yûki Kudô,3,3
2 win,102.0,Actor,George Dzundza,0,2
4 win & 7 nomination,153.0,Actor,"Neal McDonough
(I)",7,4
"nominated 3 golden globes, another 4 win & 29 nomination",159.0,Actor,Mandy Patinkin,32,4
"nominated 1 bafta film award, another 16 win & 7 nomination",95.0,Actor,"Ulrich Mühe
(1953–2007)",8,16
2 nomination,31.0,Actress,Nina Arianda,2,0
14 win & 13 nomination,111.0,Actor,Jean-Pierre Bacri,13,14
"nominated 1 golden globe, another 2 win & 21 nomination",134.0,Actress,Connie Britton,22,2
"nominated 1 primetime emmy, another 3 win & 3 nomination",103.0,Actor,BD Wong,4,3
1 nomination,106.0,Actress,Cobie Smulders,1,0
none,105.0,Actor,"William Atherton
(I)",0,0
4 nomination,234.0,Actress,Jaya Prada,4,0
3 win & 6 nomination,107.0,Actor,"Scott Wolf
(I)",6,3
1 win & 1 nomination,168.0,Actress,Olivia Munn,1,1
2 win & 6 nomination,176.0,Actress,"Kelly Hu
(I)",6,2
1 nomination,101.0,Actor,"John Witherspoon
(I)",1,0
"nominated 1 golden globe, another 6 win & 19 nomination",133.0,Actress,"Lauren Graham
(I)",20,6
"nominated 1 primetime emmy, another 4 win & 5 nomination",154.0,Actress,Melora Hardin,6,4
2 nomination,140.0,Actor,Adam Pally,2,0
2 nomination,118.0,Actor,"Tom Bell
(I)
(1933–2006)",2,0
5 win & 6 nomination,57.0,Actress,Karoline Herfurth,6,5
24 win & 36 nomination,143.0,Actor,Don McKellar,36,24
3 win & 3 nomination,91.0,Actor,Goran Visnjic,3,3
3 win & 6 nomination,167.0,Actress,Wendi McLendon-Covey,6,3
4 win & 6 nomination,87.0,Actor,Enrico Lo Verso,6,4
none,52.0,Actress,"Lorissa McComas
(1970–2009)",0,0
"nominated 1 oscar, another 1 win & 4 nomination",256.0,Actress,Teri Garr,5,1
none,95.0,Actor,"Stuart Wilson
(II)",0,0
"won 1 golden globe, another 5 win & 8 nomination",227.0,Actor,Dabney Coleman,8,6
1 win & 3 nomination,95.0,Actress,Judith Godrèche,3,1
11 win & 11 nomination,143.0,Actor,Ulrich Tukur,11,11
none,81.0,Actress,"Nikki Fritz
(I)",0,0
13 win & 5 nomination,248.0,Actor,Xander Berkeley,5,13
"nominated 3 primetime emmys, another 1 win & 20 nomination",189.0,Actor,"Jerry Orbach
(1935–2004)",23,1
none,174.0,Actor,Ashok Saraf,0,0
1 win & 1 nomination,43.0,Actor,Ha-kyun Shin,1,1
1 win & 15 nomination,70.0,Actor,Jake T. Austin,15,1
"nominated 1 oscar, another 3 win & 7 nomination",102.0,Actress,Cathy Moriarty,8,3
9 win & 7 nomination,46.0,Actress,Adèle Haenel,7,9
8 win & 5 nomination,173.0,Actor,"Maury Chaykin
(1949–2010)",5,8
1 win & 2 nomination,89.0,Actor,"Laurent Lucas
(I)",2,1
1 win & 1 nomination,323.0,Actor,Brian Blessed,1,1
2 nomination,61.0,Actress,Monica Keena,2,0
"nominated 1 oscar, another 33 win & 42 nomination",45.0,Actor,Timothée Chalamet,43,33
1 win & 6 nomination,33.0,Actor,"Graham Phillips
(I)",6,1
1 win & 6 nomination,47.0,Actor,Zach Gilford,6,1
1 win & 18 nomination,46.0,Actor,Tracy Letts,18,1
1 win & 2 nomination,55.0,Actor,AJ Bowen,2,1
none,51.0,Actor,James DeBello,0,0
2 nomination,106.0,Actor,"Christopher Reid
(I)",2,0
"nominated 1 primetime emmy, another 1 win & 1 nomination",137.0,Actor,Bronson Pinchot,2,1
none,164.0,Actor,Jay O. Sanders,0,0
"won 1 golden globe, another 33 win & 41 nomination",207.0,Actress,Tracey Ullman,41,34
4 win & 3 nomination,58.0,Actor,"Akira Terao
(I)",3,4
5 win & 14 nomination,133.0,Actor,"Denis Lavant
(I)",14,5
none,28.0,Actress,Dona Speir,0,0
8 win & 13 nomination,99.0,Actor,James Marsters,13,8
5 win & 1 nomination,113.0,Actor,Georges Corraface,1,5
"nominated 1 bafta film award, another 4 win & 8 nomination",81.0,Actress,Jennifer Ehle,9,4
1 win,332.0,Actor,Akio Ôtsuka,0,1
none,66.0,Actress,Katie Aselton,0,0
2 win & 2 nomination,32.0,Actress,Astrid Bergès-Frisbey,2,2
"nominated 6 golden globes, another 3 win & 6 nomination",182.0,Actress,Heather Locklear,12,3
38 win & 25 nomination,335.0,Actress,Carmen Maura,25,38
1 win,63.0,Actor,Kazunari Ninomiya,0,1
2 win & 1 nomination,102.0,Actor,Samuel Le Bihan,1,2
7 win & 3 nomination,151.0,Actress,"Ramya Krishnan
(I)",3,7
13 win & 7 nomination,47.0,Actor,"Mahesh Babu
(I)",7,13
6 win & 4 nomination,97.0,Actor,Ryo Kase,4,6
"nominated 1 primetime emmy, another 3 win & 6 nomination",30.0,Producer,Uday Chopra,7,3
1 nomination,82.0,Actor,Alex Descas,1,0
1 win,19.0,Actor,"Alex Frost
(I)",0,1
1 win & 3 nomination,24.0,Actress,Jane March,3,1
"nominated 1 oscar, another 12 win & 33 nomination",131.0,Actress,Lesley Manville,34,12
"nominated 1 golden globe, another 7 win & 11 nomination",132.0,Actress,"Amanda Plummer
(I)",12,7
2 win & 5 nomination,120.0,Actor,"Charlie Day
(II)",5,2
1 win & 1 nomination,111.0,Actor,"Jeremy London
(I)",1,1
"nominated 1 primetime emmy, another 11 win & 11 nomination",240.0,Music Department,"Giancarlo Esposito
(I)",12,11
none,215.0,Actor,Roger Carel,0,0
none,59.0,Actress,Nicki Aycox,0,0
"nominated 1 bafta film award, another 5 win & 11 nomination",166.0,Actress,"Kathy Burke
(I)",12,5
"won 1 golden globe, another 5 win & 17 nomination",193.0,Actor,Scott Bakula,17,6
8 win & 15 nomination,82.0,Actor,Ben Whishaw,15,8
6 win & 7 nomination,82.0,Actor,Rolf Lassgård,7,6
2 win & 3 nomination,73.0,Actor,"Dustin Milligan
(I)",3,2
1 nomination,32.0,Actor,"Steven Strait
(I)",1,0
6 nomination,71.0,Actor,Sebastian Stan,6,0
none,17.0,Actor,Iko Uwais,0,0
6 win & 6 nomination,73.0,Actress,"Miki Nakatani
(I)",6,6
3 win & 5 nomination,91.0,Actor,Kevin McKidd,5,3
1 win & 1 nomination,126.0,Actor,"William McNamara
(I)",1,1
4 win & 1 nomination,66.0,Actor,"Jon Abrahams
(I)",1,4
2 win & 10 nomination,64.0,Actor,James Roday,10,2
4 win & 2 nomination,138.0,Actor,"Hiroshi Abe
(I)",2,4
1 nomination,54.0,Actress,"Cameron Richardson
(II)",1,0
none,107.0,Actor,"Arjun
(I)",0,0
"nominated 1 golden globe, another 5 win & 9 nomination",131.0,Actress,"Kristin Davis
(I)",10,5
4 win & 2 nomination,204.0,Actor,"Jayaram
(I)",2,4
8 win & 15 nomination,62.0,Actor,"Suriya
(I)",15,8
"nominated 2 primetime emmys, another 4 win & 14 nomination",67.0,Actress,"Lauren Ambrose
(I)",16,4
none,94.0,Actor,Norbert Weisser,0,0
"nominated 1 primetime emmy, another 4 win & 12 nomination",77.0,Actress,"Elizabeth Mitchell
(I)",13,4
26 win & 25 nomination,38.0,Actress,Adèle Exarchopoulos,25,26
3 nomination,71.0,Actress,Lela Rochon,3,0
5 win & 7 nomination,93.0,Actor,Atul Kulkarni,7,5
1 win & 4 nomination,28.0,Actress,Sharni Vinson,4,1
1 win,34.0,Actress,"Yi Huang
(I)",0,1
"nominated 1 oscar, another 24 win & 41 nomination",56.0,Actress,Quvenzhané Wallis,42,24
"won 1 golden globe, another 5 win & 19 nomination",181.0,Actress,Teri Hatcher,19,6
11 win & 8 nomination,217.0,Producer,"Tom Green
(III)",8,11
1 nomination,28.0,Actress,Lorenza Izzo,1,0
4 nomination,102.0,Actor,Eric Christian Olsen,4,0
"nominated 1 primetime emmy, another 3 win & 3 nomination",56.0,Actress,Elizabeth Reaser,4,3
3 win & 1 nomination,86.0,Actor,Wilson Cruz,1,3
"nominated 1 oscar, another 6 win & 5 nomination",197.0,Actor,Burt Young,6,6
none,45.0,Actor,"Rick Hill
(I)",0,0
none,67.0,Actor,"Juan Fernández
(I)",0,0
2 win & 3 nomination,110.0,Actor,"Rahul Dev
(I)",3,2
2 nomination,34.0,Actor,Harry Treadaway,2,0
"nominated 1 golden globe, another 1 win & 3 nomination",240.0,Actress,Adrienne Barbeau,4,1
3 win & 9 nomination,174.0,Actress,Rebecca Romijn,9,3
none,33.0,Actor,Jake Stormoen,0,0
none,62.0,Actor,Robin Shou,0,0
15 win & 16 nomination,39.0,Actor,Luigi Lo Cascio,16,15
7 win & 14 nomination,73.0,Actor,Marco Giallini,14,7
1 win & 2 nomination,29.0,Actor,Nicolai Cleve Broch,2,1
1 win & 1 nomination,149.0,Actor,Jean-Paul Rouve,1,1
1 win & 5 nomination,47.0,Actor,Desmond Harrington,5,1
3 win & 2 nomination,182.0,Actor,Johan Leysen,2,3
6 win & 13 nomination,376.0,Actor,"Eric Tsang
(I)",13,6
3 nomination,43.0,Actor,"Richard Madden
(I)",3,0
1 nomination,87.0,Actor,Bruce Ramsay,1,0
3 win & 3 nomination,132.0,Actor,"John Getz
(I)",3,3
7 win & 7 nomination,105.0,Actor,Pablo Echarri,7,7
18 win & 19 nomination,123.0,Actress,Laura Morante,19,18
11 win & 13 nomination,64.0,Actress,Agata Kulesza,13,11
2 win & 1 nomination,216.0,Actor,Tomorô Taguchi,1,2
3 win & 8 nomination,27.0,Actor,"Imran Khan
(II)",8,3
2 win,110.0,Actor,"Patrick Muldoon
(I)",0,2
none,48.0,Actress,Olivia Taylor Dudley,0,0
1 win & 2 nomination,123.0,Actor,"Richard T. Jones
(I)",2,1
1 nomination,144.0,Actor,Cliff De Young,1,0
"won 1 golden globe, another 8 win & 5 nomination",1047.0,Soundtrack,Mick Jagger,5,9
none,55.0,Actress,Marsha Thomason,0,0
none,42.0,Actress,Amy Yip,0,0
1 nomination,135.0,Actor,"Nick Moran
(I)",1,0
